,content,text_only,text_len,type,source_identifier,file_name
0,"The X-ray quasi-periodic eruptions (QPEs) are a new type of transient phenomenon associated with supermassive black holes (SMBHs) and their physical origin has sparked intensive debates since their discoveries~\citep{Miniutti2019}. The most remarkable features of QPEs are the extremely high-amplitude bursts of X-ray radiation that recur every few hours to days. The peak luminosity of these bursts can be up to $\sim100$ times higher than that of the quiescent level. Only about 10 galaxies have been observed to show QPEs so far, including GSN~069 \citep{Miniutti2019}, RXJ1301 \citep{Sun2013,Giustini2020}, eRO-QPE1, eRO-QPE2 \citep{Arcodia2021}, eRO-QPE3, eRO-QPE4 \citep{Arcodia2024}, eRO-QPE5 \citep{Arcodia2025}, XMMSL1~J0249 \citep{Chakraborty2021}, AT~2019vcb \citep{Quintin2023}, AT~2019qiz \citep{Nicholl2024}, AT~2022upj \citep{Chakraborty2025} and ZTF19acnskyy \citep[Ansky,][]{J1335+0728,Hernandez-Garcia2025}.
Various models have been proposed to explain QPEs, which can be broadly categorized into two classes. One is the disk instability model~\citep{Raj2021,Pan2022,Kaur2023,Middleton2025} and the other is the interaction model involving a stellar-mass orbiting companion in an extreme mass-ratio inspiral (EMRI) with a SMBH (\citealt{King2020,Xian2021,Wang2022,Zhao2022,Lu2023,Franchini2023,Linial2023b,Tagawa2023,Zhou2024a}). 
","The X-ray quasi-periodic eruptions (QPEs) are a new type of transient phenomenon associated with supermassive black holes (SMBHs) and their physical origin has sparked intensive debates since their discoveries~. The most remarkable features of QPEs are the extremely high-amplitude bursts of X-ray radiation that recur every few hours to days. The peak luminosity of these bursts can be up to times higher than that of the quiescent level. Only about 10 galaxies have been observed to show QPEs so far, including GSN~069 , RXJ1301 , eRO-QPE1, eRO-QPE2 , eRO-QPE3, eRO-QPE4 , eRO-QPE5 , XMMSL1~J0249 , AT~2019vcb , AT~2019qiz , AT~2022upj and ZTF19acnskyy []{J1335+0728,Hernandez-Garcia2025}. Various models have been proposed to explain QPEs, which can be broadly categorized into two classes. One is the disk instability model~ and the other is the interaction model involving a stellar-mass orbiting companion in an extreme mass-ratio inspiral (EMRI) with a SMBH ().",968,text,Source_0,2510.22211v1
1,"A major recent breakthrough is the first direct detection of QPEs following a confirmed optical tidal disruption event (TDE, \citealt{Rees1988,Gezari2021}), AT2019qiz~\citep{Nicholl2024}. This discovery provides compelling evidence that at least a subset of QPEs are physically linked to TDEs. Intriguingly, similar connections were previously suggested for the prototypical QPE source GSN069, which displays TDE-like features in its long-term X-ray evolution~\citep{Shu2018} and its abnormal nitrogen-enriched gas~\citep{Sheng2021}, as well as in other systems including AT2019vcb \citep{Quintin2023}, XMMSL1J024916.6-041244~\citep{Chakraborty2021}, and AT2022upj~\citep{Chakraborty2025}. Remarkably, QPE and TDE host galaxies share several distinctive characteristics, including a strong preference for poststarburst galaxies~\citep{Wevers2022} and the frequent presence of extended emission-line regions (EELRs, \citealt{Wevers2024,Wevers2024b}), which are indicative of recently faded active galactic nuclei (AGNs). The mounting evidence for QPE-TDE connections has given rise to the ""EMRI+TDE=QPE"" model~\citep{Linial2023b}, which yet requires EMRIs to reside in unusual quasi-circular orbits~\citep{Zhou2024a,Zhou2024b}, likely formed during previous AGN phases~\citep{Pan2021wetEMRI}. This progress motivates a unified model in which QPEs represent a transient phase following TDEs involving SMBHs shortly after the cessation of AGN activity~\citep{Jiang2025}.  Nevertheless, it remains uncertain whether all QPEs originate from this channel, and if not, what fraction do.
","A major recent breakthrough is the first direct detection of QPEs following a confirmed optical tidal disruption event (TDE, ), AT2019qiz~. This discovery provides compelling evidence that at least a subset of QPEs are physically linked to TDEs. Intriguingly, similar connections were previously suggested for the prototypical QPE source GSN069, which displays TDE-like features in its long-term X-ray evolution~ and its abnormal nitrogen-enriched gas~, as well as in other systems including AT2019vcb , XMMSL1J024916.6-041244~, and AT2022upj~. Remarkably, QPE and TDE host galaxies share several distinctive characteristics, including a strong preference for poststarburst galaxies~ and the frequent presence of extended emission-line regions (EELRs, ), which are indicative of recently faded active galactic nuclei (AGNs). The mounting evidence for QPE-TDE connections has given rise to the ""EMRI+TDE=QPE"" model~, which yet requires EMRIs to reside in unusual quasi-circular orbits~, likely formed during previous AGN phases~. This progress motivates a unified model in which QPEs represent a transient phase following TDEs involving SMBHs shortly after the cessation of AGN activity~. Nevertheless, it remains uncertain whether all QPEs originate from this channel, and if not, what fraction do.",1298,text,Source_1,2510.22211v1
2,"Among known QPE sources to date, the one discovered by~\citet{Hernandez-Garcia2025} is of particular interest as it may represent the first confirmed case of QPEs arising from the awakening of a dormant SMBH. The galaxy SDSSJ1335+0728, at a redshift of 0.024, had remained photometrically stable for two decades until 2019 December, when an optical brightening (designated ZTF19acnskyy or ""Ansky"") was detected. Subsequent X-ray monitoring beginning in 2024 February revealed extreme QPE activity characterized by a recurrence period of approximately 4.5 days, the highest fluxes and amplitudes, the longest timescales, and the largest integrated energies observed to date. Given that its optical light curve deviates significantly from that of typical optical TDEs, \citet{Hernandez-Garcia2025} proposed that the QPEs in this system are more likely associated with a turn-on AGN rather than a TDE. This discovery, therefore, potentially broadens the range of plausible formation channels for QPEs. However, as discussed by both \citet{J1335+0728} and \citet{Hernandez-Garcia2025}, an exotic TDE scenario for Ansky cannot be definitively ruled out. First, its blue optical color and soft X-ray emission (blackbody temperature $kT_{\rm bb} \approx 50$–100~eV) are both typical characteristics of TDEs. Moreover, the absence of broad emission lines in the optical spectra of SDSSJ1335+0728 even after the outburst \citep{J1335+0728} poses a challenge for the AGN interpretation. In contrast, it aligns more naturally with the TDE scenario, particularly considering the existence of a subclass of featureless TDEs \citep{Hammerstein2023,Yao2025,Anna2025}.
","Among known QPE sources to date, the one discovered by~ is of particular interest as it may represent the first confirmed case of QPEs arising from the awakening of a dormant SMBH. The galaxy SDSSJ1335+0728, at a redshift of 0.024, had remained photometrically stable for two decades until 2019 December, when an optical brightening (designated ZTF19acnskyy or ""Ansky"") was detected. Subsequent X-ray monitoring beginning in 2024 February revealed extreme QPE activity characterized by a recurrence period of approximately 4.5 days, the highest fluxes and amplitudes, the longest timescales, and the largest integrated energies observed to date. Given that its optical light curve deviates significantly from that of typical optical TDEs, proposed that the QPEs in this system are more likely associated with a turn-on AGN rather than a TDE. This discovery, therefore, potentially broadens the range of plausible formation channels for QPEs. However, as discussed by both and , an exotic TDE scenario for Ansky cannot be definitively ruled out. First, its blue optical color and soft X-ray emission (blackbody temperature –100~eV) are both typical characteristics of TDEs. Moreover, the absence of broad emission lines in the optical spectra of SDSSJ1335+0728 even after the outburst poses a challenge for the AGN interpretation. In contrast, it aligns more naturally with the TDE scenario, particularly considering the existence of a subclass of featureless TDEs .",1465,text,Source_2,2510.22211v1
3,"In this work, we present our new HST UV spectroscopic observation taken in the late stage of Ansky. We describe our multi-wavelength data reduction and analysis in Sections 2 and 3. In Section 4, based on the observational properties, we demonstrate that Ansky is more likely to be a TDE instead of a turn-on AGN, and discuss the causes of its unique features among TDEs, and the possible physical connection between QPEs and TDEs.
Finally, we summarize our findings in Section 5.
For this work, we adopt the cosmological parameters of $H_0=70\,\text{km}\text{s}^{-1}\,\text{Mpc}^{-1}$, $\Omega_{\rm M}=0.3$, and $\Omega_{\Lambda}=0.7$.
","In this work, we present our new HST UV spectroscopic observation taken in the late stage of Ansky. We describe our multi-wavelength data reduction and analysis in Sections 2 and 3. In Section 4, based on the observational properties, we demonstrate that Ansky is more likely to be a TDE instead of a turn-on AGN, and discuss the causes of its unique features among TDEs, and the possible physical connection between QPEs and TDEs. Finally, we summarize our findings in Section 5. For this work, we adopt the cosmological parameters of , , and .",545,text,Source_3,2510.22211v1
4,"\begin{figure*}[ht]
\centering
\begin{minipage}{1.\textwidth}
\centering{\includegraphics[angle=0,width=1\textwidth]{HST_spec.pdf}}
\end{minipage}
\caption{Top panel: The HST STIS spectrum of Ansky observed on 2025 May 24 UT. The red and green dashed lines represent our best-fit blackbody and power-law models, respectively.
Bottom panel: The residual spectrum after subtracting the power-law fitting component. The blue dashed line indicates the location of C IV~$\lambda$1549. \label{hst_spec}}
\end{figure*}","\begin{figure*}[ht]
\centering
\begin{minipage}{1.\textwidth}
\centering{\includegraphics[angle=0,width=1\textwidth]{HST_spec.pdf}}
\end{minipage}
\caption{Top panel: The HST STIS spectrum of Ansky observed on 2025 May 24 UT. The red and green dashed lines represent our best-fit blackbody and power-law models, respectively.
Bottom panel: The residual spectrum after subtracting the power-law fitting component. The blue dashed line indicates the location of C IV~$\lambda$1549. \label{hst_spec}}
\end{figure*}",511,text,Source_4,2510.22211v1
5,"We proposed a Director’s Discretionary Time (DDT) program (ID:17933, PI: Jiang) with the Space Telescope Imaging Spectrograph (STIS) mounted on the Hubble Space Telescope (HST) to obtain the UV spectra of Ansky. The observation was conducted on 2025 May 24. We adopted a slit with a width of $0^{\prime \prime}.2$ (52X0.2) to cover the core of the galaxy and minimize starlight contamination. We chose observations with G140L and G230L gratings, each with an exposure time of 4528 seconds. The final combined spectrum covers a rest-frame wavelength range from about 1100 \AA\ to 3050 \AA\ with a median signal-to-noise (S/N) of 12. The HST UV spectrum is shown in Figure~\ref{hst_spec}. The HST data were obtained from the Mikulski Archive for Space Telescopes (MAST) at the Space Telescope Science Institute. The data can be accessed via \dataset[doi:10.17909/vd2n-yb27]{https://doi.org/DOI}.
","We proposed a Director’s Discretionary Time (DDT) program (ID:17933, PI: Jiang) with the Space Telescope Imaging Spectrograph (STIS) mounted on the Hubble Space Telescope (HST) to obtain the UV spectra of Ansky. The observation was conducted on 2025 May 24. We adopted a slit with a width of (52X0.2) to cover the core of the galaxy and minimize starlight contamination. We chose observations with G140L and G230L gratings, each with an exposure time of 4528 seconds. The final combined spectrum covers a rest-frame wavelength range from about 1100 \ to 3050 \ with a median signal-to-noise (S/N) of 12. The HST UV spectrum is shown in Figure~. The HST data were obtained from the Mikulski Archive for Space Telescopes (MAST) at the Space Telescope Science Institute. The data can be accessed via .",798,text,Source_5,2510.22211v1
6,"In our HST UV spectroscopic observations, we selected the ACQ/IMAGE acquisition mode with a clear filter. This mode provides an acquisition image covering an area of $100\times100$ pixels. Therefore, we can utilize the high spatial resolution of HST to verify whether the source is located at the center of the host galaxy. Specifically, we used the two-dimensional fitting algorithm {\tt GALFIT}~\citep{Peng2010} to model the image using a two-component fit consisting of a PSF and a Sérsic profile. The cutout images of the observed data, model, and residual are shown in Figure~\ref{HST_image}. We measured an offset of $0.34\pm0.70$ pixels between the barycenter of the PSF and the galaxy center, corresponding to approximately $9\pm18$ pc. This result indicates that the location of the outburst is consistent with the galactic center.
","In our HST UV spectroscopic observations, we selected the ACQ/IMAGE acquisition mode with a clear filter. This mode provides an acquisition image covering an area of pixels. Therefore, we can utilize the high spatial resolution of HST to verify whether the source is located at the center of the host galaxy. Specifically, we used the two-dimensional fitting algorithm { GALFIT}~ to model the image using a two-component fit consisting of a PSF and a Sérsic profile. The cutout images of the observed data, model, and residual are shown in Figure~. We measured an offset of pixels between the barycenter of the PSF and the galaxy center, corresponding to approximately pc. This result indicates that the location of the outburst is consistent with the galactic center.",768,text,Source_6,2510.22211v1
7,"We have obtained three optical spectra of Ansky. Two of these were observed using the Low-Resolution Imaging Spectrometer (LRIS, \citealt{oke95}) on the Keck 10-meter telescope and reduced with {\tt Lpipe} \citep{Perley19}. The observations employed a 1\arcsec\ slit and a D560 dichroic to split the light into blue and red arms simultaneously. For the first run on 2021 May 16, the 400/3400 blue-arm grism and the 400/8500 red-arm grating centered at 7865~\AA\ were used, giving a resolving power of R$\sim$1000 and a wavelength coverage of 3100\,\AA\ to 10300\,\AA. The configuration of the second run on 2025 June 1 was essentially the same as that of the first, with the only difference being that the blue side employed the 600/4000 grism. Notably, the second Keck/LRIS spectrum was taken only one week after the HST/STIS observation, which can be considered as well-coordinated observation given the long variability timescale of Ansky. 
","We have obtained three optical spectra of Ansky. Two of these were observed using the Low-Resolution Imaging Spectrometer (LRIS, ) on the Keck 10-meter telescope and reduced with { Lpipe} . The observations employed a 1\ slit and a D560 dichroic to split the light into blue and red arms simultaneously. For the first run on 2021 May 16, the 400/3400 blue-arm grism and the 400/8500 red-arm grating centered at 7865~\ were used, giving a resolving power of R1000 and a wavelength coverage of 3100\,\ to 10300\,. The configuration of the second run on 2025 June 1 was essentially the same as that of the first, with the only difference being that the blue side employed the 600/4000 grism. Notably, the second Keck/LRIS spectrum was taken only one week after the HST/STIS observation, which can be considered as well-coordinated observation given the long variability timescale of Ansky.",886,text,Source_7,2510.22211v1
8,"Additionally, we have obtained another spectrum using the BINOSPEC spectrograph~\citep{Fabricant2019} mounted on the 6.5m Multiple Mirror Telescope (MMT) on 2025 June 16, in which a 270 ($R\sim1400$) grating at a central wavelength of 6500~\AA\ and a 1\arcsec\ long slit were used for the observation. The data was reduced using the standard Binospec IDL pipeline by the SAO staff. We also collected the archival pre-flare SDSS spectrum obtained in 2007, and all spectra are shown in Figure~\ref{spec_opt}.
","Additionally, we have obtained another spectrum using the BINOSPEC spectrograph~ mounted on the 6.5m Multiple Mirror Telescope (MMT) on 2025 June 16, in which a 270 () grating at a central wavelength of 6500~\ and a 1\ long slit were used for the observation. The data was reduced using the standard Binospec IDL pipeline by the SAO staff. We also collected the archival pre-flare SDSS spectrum obtained in 2007, and all spectra are shown in Figure~.",450,text,Source_8,2510.22211v1
9,"UV images were obtained with the {\it Neil Gehrels Swift Observatory} (hereafter {\it Swift}) with the Ultra-Violet Optical Telescope (UVOT). The {\it Swift} photometry (PIs: Hernandez-Garcia, Pasham) was measured with the UVOTSOURCE task in the {\tt Heasoft} package \citep{heasoft} with the source and background regions defined by circles with radii of $5^{\prime\prime}$ and $30^{\prime\prime}$, respectively. Moreover, we proposed a single-epoch {\it Swift}/UVOT observation on 2025 May 28, which is quasi-simultaneous with the HST STIS observation and reveals that the high temperature characteristic of Ansky continued until six years after outburst (see Figure~\ref{SED}).
","UV images were obtained with the { Neil Gehrels Swift Observatory} (hereafter { Swift}) with the Ultra-Violet Optical Telescope (UVOT). The { Swift} photometry (PIs: Hernandez-Garcia, Pasham) was measured with the UVOTSOURCE task in the { Heasoft} package with the source and background regions defined by circles with radii of and , respectively. Moreover, we proposed a single-epoch { Swift}/UVOT observation on 2025 May 28, which is quasi-simultaneous with the HST STIS observation and reveals that the high temperature characteristic of Ansky continued until six years after outburst (see Figure~).",602,text,Source_9,2510.22211v1
